
Timestamp,Job Title,Company Name,Industry,Location,Salary,Job Type,Experience Level,Education Level,Posting Date,Source Agency
1/6/2026 0:17:39,HR Officer,Private Company,Retail & Wholesale,Phnom Penh,"USD 800 – 1,200",Full-time,Junior Level (1–2 years),Bachelor's Degree,12/30/2025,Facebook Page
1/6/2026 0:22:06,Seller,Huawei,Retail & Wholesale,Phnom Penh,USD 300 – 500,Full-time,Entry Level (0–1 year),High School,1/4/2026,Facebook Page
1/6/2026 18:17:08,Web Developer,Private Company,Tech solution,Phnom Penh,USD 300 – 500,Full-time,Mid Level (2–5 years),Bachelor's Degree,12/30/2025,Jobify Cambodia
1/6/2026 18:18:38,Java developer,Private Company,Banking & Finance,Phnom Penh,USD 300 – 500,Full-time,Mid Level (2–5 years),Bachelor's Degree,12/9/2025,Jobify Cambodia
1/6/2026 18:19:41,UI/UX Designer,Private Company,Banking & Finance,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,12/9/2025,Jobify Cambodia
1/6/2026 18:21:18,System Administrator,Private Company,Information Technology,Phnom Penh,"USD 1,200 – 2,000",Full-time,Senior Level (5+ years),Bachelor's Degree,11/13/2025,Jobify Cambodia
1/6/2026 18:23:05,Mobile App Developer,Private Company,Banking & Finance,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,12/9/2025,Jobify Cambodia
1/6/2026 18:25:29,Quality Assurance tester,Private Company,Banking & Finance,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,12/9/2025,Jobify Cambodia
1/6/2026 18:28:00,Database Administrator,ABA Bank,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/5/2025,LinkedIn Cambodia
1/6/2026 18:30:14,Data Engineer,One Fraternity,Information Technology,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,11/5/2025,LinkedIn Cambodia
1/6/2026 18:32:29,Digital Developer,TotalEnergis,Energy & Utilities,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Senior Level (5+ years),Bachelor's Degree,1/4/2026,LinkedIn Cambodia
1/6/2026 18:34:43,Finance Officer,LOLC Cambodia,Banking & Finance,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/6/2026,Facebook Page
1/6/2026 18:36:10,Sales Executive,Private Company,Information Technology,Phnom Penh,USD 500 – 800,Full-time,Junior Level (1–2 years),Bachelor's Degree,1/6/2026,Facebook Page
1/6/2026 18:36:57,Marketing Executive,Private Company,Information Technology,Phnom Penh,USD 300 – 500,Full-time,Entry Level (0–1 year),Bachelor's Degree,1/6/2026,Facebook Page
1/7/2026 15:28:57,Technician,CE&P Corporation Ltd,Construction,Phnom Penh,USD 150 – 300,Full-time,Entry Level (0–1 year),High School,1/6/2026,CamHR
1/7/2026 15:30:50,Digital Marketing Officer,"MARVALUE CO., LTD.",Media & Advertising,Phnom Penh,USD 500 – 800,Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,CamHR
1/7/2026 16:55:22,Sales Executive,"Healthy Homes (Cambodia) CO., LTD",Healthcare,Phnom Penh,"USD 1,200 – 2,000",Full-time,Entry Level (0–1 year),Any education level,1/2/2026,CamHR
1/7/2026 17:10:33,Site Engineer ,Time Square Apartments ,Hospitality ,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,12/19/2025,CamHR
1/7/2026 17:33:42,Customer Service Officer,"Urban Asset Solutions Co., LTD",Real Estate,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/6/2026,CamHR
1/7/2026 17:59:51,Cashier ,Zion International School of Phnom Penh,Education,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,1/7/2026,CamHR
1/7/2026 18:07:12,Senior Logistic Officer ,"Hanuman Auto Trading Co.,LTD",Automotive - Vehicle,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,12/15/2025,CamHR
1/7/2026 18:40:46,HR Officer,Time Square Apartments,Hospitality,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,1/2/2026,CamHR
1/7/2026 18:43:17,Building Manager,"Urban Asset Solutions Co., LTD.",Real Estate,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,1/6/2026,CamHR
1/7/2026 19:20:06,Translator,"Prime Master Lite (Cambodia) CO., LTD.",Mechanical ,Kampong Speu,USD 500 – 800,Full-time,No experience,Associate Degree,12/30/2025,CamHR
1/7/2026 19:22:32,Cook,vivo Cambodia ,Telecommunications,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Any education level,1/2/2026,CamHR
1/7/2026 19:25:32,Teacher,Bright Light International School,Education,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/6/2026,CamHR
1/7/2026 19:30:55,Sales Specialist ,DHL Logistics (Cambodia) Ltd.,Logistics & Transportation,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/6/2026,CamHR
1/7/2026 19:33:12,Intern / Trainee,DHL Logistics (Cambodia) Ltd.,Logistics & Transportation,Phnom Penh,Negotiable (ព្រមព្រៀង),Internship,No experience,High School,12/16/2025,CamHR
1/7/2026 19:35:51,Social Media Specialist,AMS BridgeBlue Cambodia ,Consultancy,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Any education level,1/6/2026,CamHR
1/7/2026 19:38:01,Finance Officer,"MANHATTAN INTERNATIONAL CO.,LTD",Manufacturing,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,CamHR
1/7/2026 19:39:29,Marketing assistant,Expert Education and visa service,Education,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,Junior Level (1–2 years),Bachelor's Degree,1/2/2026,BongThom
1/7/2026 19:40:48,Sale Consultant ,"Broker Jet Co., LTD",General Business Services ,Phnom Penh,Negotiable (ព្រមព្រៀង),Full-time,No experience,Bachelor's Degree,1/5/2026,CamHR
1/7/2026 19:45:22,Sales Executive,"UPG PIPE co.,LTD",Energy & Utilities,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,Facebook Page
1/7/2026 19:46:49,Accounting Executive,"UPG pipe co.,LTD",Energy & Utilities,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,Facebook Page
1/7/2026 19:48:02,Sales Officer,"UPG PIPE co.,LTD",Energy & Utilities,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,Entry Level (0–1 year),Bachelor's Degree,1/7/2026,Facebook Page
1/7/2026 19:49:35,Sales intern,"UPG PIPE co.,LTD",Energy & Utilities,Phnom Penh,Not disclosed  (មិនបានបញ្ជាក់),Full-time,No experience,High School,1/7/2026,Facebook Page
1/7/2026 19:51:22,Sales Manager,Leading Contemporary Hotel,Tourism & Hospitality,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/7/2026,Facebook Page
1/7/2026 19:52:53,Sales Superviser,Private Company,Tourism & Hospitality,Phnom Penh,USD 500 – 800,Full-time,Junior Level (1–2 years),Bachelor's Degree,1/7/2026,Facebook Page
1/7/2026 19:55:05,Receptionist Chinese,Startup Company,Logistics & Transportation,Phnom Penh,USD 300 – 500,Full-time,Junior Level (1–2 years),Any education level,1/7/2026,Facebook Page
1/7/2026 19:56:44,Marketing Executive,Private Company,Retail & Wholesale,Phnom Penh,"USD 1,200 – 2,000",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,Facebook Page
1/7/2026 19:57:59,Digital Marketing Officer,Private Company,Media & Advertising,Phnom Penh,"USD 800 – 1,200",Full-time,Mid Level (2–5 years),Bachelor's Degree,1/5/2026,Facebook Page
